energy,smiles
-6.5,CC1=NNN(c2cc(NC(N)=S)ccc2C)[C@H]1c1cccc(O)c1
-6.7,C=CC1=NNN(Cc2ccc(C)c(C)c2)[C@H]1C(C)(C)OC[C@H]1CO1
-8.0,C#Cc1ccc(C2=NNN(c3cccc(CO)c3)[C@H]2c2ccc(C#C)cc2)cc1
-6.1,COC(=O)[C@@H]1C(c2cnn(C)c2C2CC2)=NNN1C1=NS(=O)(=O)c2ccccc21
-6.8,C[C@@H]1C(CC(=O)O)=NNN1c1ccc(F)cc1F
-7.6,CCOC(=O)[C@@H]1C(C(=O)Nc2ccccc2)=NNN1C[C@@H]1COc2ccccc2O1
-5.4,C#C[C@@](C)(c1ccccc1)N1NN=C(C)[C@H]1CCC(C)C
-6.5,CCC1=NNN(C2=CC=C3CC=CC=C3N2C)[C@@H]1[C@H]1CCCCO1
-7.4,COCC1=NNN(c2nncn2NCc2ccc(OC)cc2)[C@@H]1c1nccs1
-5.6,CC(C)(C)OC(=O)C1=NNN(c2ccc(C(=O)C=O)cc2)[C@H]1C(=O)OC(C)(C)C
-6.0,CN1C2=CC=CCC2=CC=C1N1NN=C(CC(C)(C)C#N)[C@@H]1CC(C)(C)C#N
-5.6,C=C[C@@H]1O[C@H]1[C@H]1C(C(C)(C)C)=NNN1c1cccc2cccnc12
-8.6,Cc1ccc(C(=O)CN2NN=C(C#Cc3ccc(C(=O)O)cc3)[C@H]2[C@H]2C[C@H](O)C2)cc1
-7.0,C#CC1=NNN(c2cc(NC(N)=S)ccc2C)[C@H]1c1ccc(C#C)cc1
-7.2,C#C[C@](C)(c1ccccc1)N1NN=C(C2CC2)[C@@H]1c1ccccc1C(=O)O
-7.6,Cc1ccc(CN2NN=C(C(N)=O)[C@H]2c2cccs2)cc1C
-7.9,O[C@@H]([C@H]1C(c2ccccc2)=NNN1C[C@H]1COc2ccccc2O1)S(O)(O)O
-8.1,C[C@H]1C(CCNC(=O)Nc2ccccc2)=NNN1c1cccc2cccnc12
-6.0,CCCCC[C@H]1C(CCC(=O)O)=NNN1c1cc(NC(N)=S)ccc1C
-5.2,CCC[C@@H]1C(CC)=NNN1C1=CC=C2CC=CC=C2N1CC
-6.1,CCC1=NNN(C2=CC=C3CC=CC=C3N2CC)[C@H]1[C@H]1CCCC1=O
-6.3,CC[C@](C)(O)[C@H]1C(C)=NNN1Cc1ccccc1
-8.2,N#CC1=NNN(CCCN2NN=C3C=CC=C[C@@H]32)[C@@H]1C1=CCCCC1
-6.9,CC(=O)C#CC1=NNN(CC(=O)c2cccc(F)c2)[C@H]1N(C)C
-6.0,C#C[C@](C)(c1ccccc1)N1NN=C(COCCO)[C@@H]1[C@@H](C)O
-7.3,CCC#CCOC1=NCN=C(OCC2=NNN(c3nncn3NCc3ccc(OC)cc3)[C@@H]2C)C1
-8.0,O=C1c2ccccc2C(=O)N1CC1=NNN(c2cccc(CO)c2)[C@H]1CO
-6.2,CC(=O)Nc1ccccc1[C@H]1C(CO)=NNN1c1nncn1NCc1ccc(F)cc1
-7.3,CCn1nc(C)c(C2=NNN(CC3=C[C@H]4NCN=C4C=C3)[C@@H]2C(=O)OC)c1C
-8.2,Fc1ccccc1OCC1=NNN(c2cccc3ncccc23)[C@H]1CN1CCOCC1
-6.8,C#C[C@@](C)(c1ccccc1)N1NN=C(c2cnn(C(C)C)c2C)[C@@H]1C(=O)OC
-8.7,CC(=O)OCc1ccc([C@H]2C(c3ccccc3)=NNN2CCCN2NN=C3C=CC=C[C@@H]32)o1
-6.9,COc1ccc(CNn2cnnc2N2NN=C(c3cnn(CC(C)C)c3)[C@H]2C(=O)O)cc1
-7.6,COc1ccc(C2=NNN(CC(=O)c3ccc(C)cc3)[C@@H]2C(=O)O)cc1OC
-8.1,Cc1ccc(C(=O)CN2NN=C([C@]3(O)[C@H](C)CCCC3(C)C)[C@@H]2C(=O)O)cc1
-6.5,C=CC1=NNN(Cc2ccccc2)[C@H]1[C@]1(O)C[C@@H](C)N(C)C[C@H]1C
-6.3,CC1=NNN(c2ccnc3c(S(C)(=O)=O)cccc23)[C@H]1c1ccccc1C
-7.3,NNC(=O)c1ccc(N2NN=C(CN3CCCCC3)[C@@H]2[C@@H](O)c2ccccc2)cc1
-5.7,C#CCOCOCC1=NNN(c2ccnc3c(S(C)(=O)=O)cccc23)[C@H]1CCC#N
-8.8,O=CC1=NNN(c2nncn2NCc2ccc(F)cc2)[C@H]1c1ccc(F)cc1
-6.2,COC(=O)[C@@H]1C(C2CCCC2)=NNN1c1ccc(C(=O)C=O)cc1
-6.7,OCC1=NNN(CC2=C[C@@H]3NCN=C3C=C2)[C@H]1CN1CC1
-6.7,O[C@H](C1=NNN(c2ccc(F)cc2F)[C@H]1C(F)(F)F)c1ccccc1
-6.6,C#CCOCOCC1=NNN([C@](C)(C#C)c2ccccc2)[C@H]1CCC#N
-7.8,C#CCCCCC1=NNN(Cc2ccc(-n3cccn3)cc2)[C@H]1c1ncccc1C#N
-7.8,CC[C@@H](O)C#CC#Cc1ccc([C@@H]2C(C)=NNN2Cc2ccc(-n3cccn3)cc2)s1
-6.0,Cc1ccc(NC(N)=S)cc1N1NN=C(CO)[C@@H]1CN1CCCC1
-8.1,Cc1ccc(C(=O)CN2NN=C(CN(C)C[C@@H](O)CN3CCOCC3)[C@H]2C)cc1
-6.8,COC(=O)[C@@](C)(N)CC1=NNN(Cc2ccc(-n3cccn3)cc2)[C@H]1CN
-7.2,C[C@H]1C(CNC(=O)N[C@@H](CO)c2ccccc2)=NNN1c1cccc(CO)c1
-6.9,Cc1cccc(C(N)=O)c1NCC1=NNN(C2=CC=C3CC=CC=C3N2C)[C@H]1C
-6.4,CC1=NNN(c2ccc(CO)cc2)[C@H]1c1cc(C)n(C)n1
-6.8,N#CCCOCC1=NNN(CC(=O)c2cccc(F)c2)[C@H]1C[C@H]1C[C@@H]2CC[C@H]1C2
-6.8,CCCOC(=O)CCC1=NNN(Cc2ccc(-n3cccn3)cc2)[C@@H]1C
-5.8,CC(C)(C)[C@H](O)[C@@H]1C([C@H](O)C(C)(C)C)=NNN1Cc1ccccc1
-6.9,CCOc1ccc(CN2NN=C([C@@H](O)CC)[C@@H]2[C@](C)(O)CCC=C(C)C)cc1
-6.1,CC1=NNN(c2nncn2NCc2ccc(F)cc2)[C@H]1[C@@H](C)O
-8.5,Cc1ccc(C(=O)CN2NN=C(CN3C(=O)N[C@@](C)(c4ccccn4)C3=O)[C@@H]2C)cc1
-7.8,CCN1CCC(O)([C@H]2C(c3ccccc3)=NNN2C[C@@H]2COc3ccccc3O2)CC1
-6.1,CCN(CC)CC1=NNN(c2ccc(CO)cc2)[C@@H]1[C@@H](O)c1ccccc1
-8.2,CC(C)(C)COc1ccc(C2=NNN(C3=NS(=O)(=O)c4ccccc43)[C@H]2C(=O)O)cc1
